year,state,state_po,office,totalvotes
2016,IDAHO,ID,US PRESIDENT,690255
2016,ILLINOIS,IL,US PRESIDENT,5536424
2016,INDIANA,IN,US PRESIDENT,2734958
2016,IOWA,IA,US PRESIDENT,1565580
2016,KANSAS,KS,US PRESIDENT,1184402
2016,KENTUCKY,KY,US PRESIDENT,1924149
2016,LOUISIANA,LA,US PRESIDENT,2029032
2016,MAINE,ME,US PRESIDENT,771892
2016,MARYLAND,MD,US PRESIDENT,2781446
2016,MASSACHUSETTS,MA,US PRESIDENT,3378821
2016,MICHIGAN,MI,US PRESIDENT,4799284
2016,MINNESOTA,MN,US PRESIDENT,2944782
2016,MISSISSIPPI,MS,US PRESIDENT,1209357
2016,MISSOURI,MO,US PRESIDENT,2808605
2016,MONTANA,MT,US PRESIDENT,494526
2016,NEBRASKA,NE,US PRESIDENT,844227
2016,NEVADA,NV,US PRESIDENT,1125385
2016,NEW HAMPSHIRE,NH,US PRESIDENT,744296
2016,NEW JERSEY,NJ,US PRESIDENT,3874046
2016,NEW MEXICO,NM,US PRESIDENT,798319
2016,NEW YORK,NY,US PRESIDENT,7802084
2016,NORTH CAROLINA,NC,US PRESIDENT,4741564
2016,NORTH DAKOTA,ND,US PRESIDENT,344360
2016,OHIO,OH,US PRESIDENT,5496487
2016,OKLAHOMA,OK,US PRESIDENT,1452992
2016,OREGON,OR,US PRESIDENT,2001336
2016,PENNSYLVANIA,PA,US PRESIDENT,6115402
2016,RHODE ISLAND,RI,US PRESIDENT,464144
2016,SOUTH CAROLINA,SC,US PRESIDENT,2103027
2016,SOUTH DAKOTA,SD,US PRESIDENT,370093
2016,TENNESSEE,TN,US PRESIDENT,2508027
2016,TEXAS,TX,US PRESIDENT,8969226
2016,UTAH,UT,US PRESIDENT,1131317
2016,VERMONT,VT,US PRESIDENT,320467
2016,VIRGINIA,VA,US PRESIDENT,3982752
2016,WASHINGTON,WA,US PRESIDENT,3317019
2016,WEST VIRGINIA,WV,US PRESIDENT,713051
2016,WISCONSIN,WI,US PRESIDENT,2976150
2016,WYOMING,WY,US PRESIDENT,258788
2020,ALABAMA,AL,US PRESIDENT,2323282
2020,ALASKA,AK,US PRESIDENT,359530
2020,ARIZONA,AZ,US PRESIDENT,3387326
2020,ARKANSAS,AR,US PRESIDENT,1219069
2020,CALIFORNIA,CA,US PRESIDENT,17500881
2020,COLORADO,CO,US PRESIDENT,3279980
2020,CONNECTICUT,CT,US PRESIDENT,1823857
2020,DELAWARE,DE,US PRESIDENT,504346
2020,DISTRICT OF COLUMBIA,DC,US PRESIDENT,344356
2020,FLORIDA,FL,US PRESIDENT,11067456
2020,GEORGIA,GA,US PRESIDENT,4999960
2020,HAWAII,HI,US PRESIDENT,579784
2020,IDAHO,ID,US PRESIDENT,868014
2020,ILLINOIS,IL,US PRESIDENT,6033743
2020,INDIANA,IN,US PRESIDENT,3033118
2020,IOWA,IA,US PRESIDENT,1700130
2020,KANSAS,KS,US PRESIDENT,1372303
2020,KENTUCKY,KY,US PRESIDENT,2136768
2020,LOUISIANA,LA,US PRESIDENT,2148062
2020,MAINE,ME,US PRESIDENT,828305
2020,MARYLAND,MD,US PRESIDENT,3037030
2020,MASSACHUSETTS,MA,US PRESIDENT,3658005
2020,MICHIGAN,MI,US PRESIDENT,5539302
2020,MINNESOTA,MN,US PRESIDENT,3277171
2020,MISSISSIPPI,MS,US PRESIDENT,1313759
2020,MISSOURI,MO,US PRESIDENT,3025962
2020,MONTANA,MT,US PRESIDENT,603674
2020,NEBRASKA,NE,US PRESIDENT,956383
2020,NEVADA,NV,US PRESIDENT,1405376
2020,NEW HAMPSHIRE,NH,US PRESIDENT,806182
2020,NEW JERSEY,NJ,US PRESIDENT,4549353
2020,NEW MEXICO,NM,US PRESIDENT,923965
2020,NEW YORK,NY,US PRESIDENT,8661735
2020,NORTH CAROLINA,NC,US PRESIDENT,5524802
2020,NORTH DAKOTA,ND,US PRESIDENT,361819
2020,OHIO,OH,US PRESIDENT,5922202
2020,OKLAHOMA,OK,US PRESIDENT,1560699
2020,OREGON,OR,US PRESIDENT,2374321
2020,PENNSYLVANIA,PA,US PRESIDENT,6915283
2020,RHODE ISLAND,RI,US PRESIDENT,516990
2020,SOUTH CAROLINA,SC,US PRESIDENT,2514096
2020,SOUTH DAKOTA,SD,US PRESIDENT,422609
2020,TENNESSEE,TN,US PRESIDENT,3053851
2020,TEXAS,TX,US PRESIDENT,11315056
2020,UTAH,UT,US PRESIDENT,1488289
2020,VERMONT,VT,US PRESIDENT,370968
2020,VIRGINIA,VA,US PRESIDENT,4460524
2020,WASHINGTON,WA,US PRESIDENT,4087631
2020,WEST VIRGINIA,WV,US PRESIDENT,794652
2020,WISCONSIN,WI,US PRESIDENT,3298041
2020,WYOMING,WY,US PRESIDENT,278503
